name,image,brightness,warmth,saturation,contrast,clarity,softness,face_ratio,eye_ratio,nose_ratio,mouth_ratio,tags
안유진,/assets/celebrities/an-yujin.jpg,0.69,0.53,0.47,0.42,0.50,0.71,0.55,0.60,0.58,0.66,선명한 톤|활기찬 무드|균형감
카리나,/assets/celebrities/karina.jpg,0.46,0.44,0.61,0.68,0.70,0.52,0.44,0.69,0.65,0.62,쿨한 색감|강한 대비|미래적 무드
윈터,/assets/celebrities/winter.jpg,0.71,0.49,0.48,0.43,0.49,0.71,0.58,0.63,0.61,0.68,맑은 톤|쿨한 무드|선명함
태연,/assets/celebrities/taeyeon.jpg,0.68,0.50,0.44,0.36,0.43,0.76,0.59,0.62,0.54,0.59,깨끗한 톤|부드러운 무드|밸런스
윤아,/assets/celebrities/yoona.jpg,0.72,0.55,0.37,0.31,0.38,0.80,0.63,0.53,0.54,0.62,맑은 이미지|밝은 분위기|단정함
서현,/assets/celebrities/seohyun.jpg,0.63,0.52,0.42,0.38,0.44,0.73,0.60,0.57,0.56,0.61,클래식 톤|정돈된 무드|차분함
나연,/assets/celebrities/nayeon.jpg,0.75,0.58,0.43,0.33,0.41,0.79,0.66,0.58,0.56,0.65,상큼한 톤|밝은 무드|활기
사나,/assets/celebrities/sana.jpg,0.70,0.60,0.41,0.34,0.40,0.78,0.57,0.59,0.57,0.66,따뜻한 색감|러블리 무드|부드러움
쯔위,/assets/celebrities/tzuyu.jpg,0.64,0.53,0.46,0.42,0.49,0.70,0.55,0.64,0.60,0.65,단정한 톤|선명한 인상|균형감
로제,/assets/celebrities/rose.jpg,0.59,0.50,0.56,0.49,0.55,0.65,0.53,0.62,0.57,0.65,감성적 색감|세련된 무드|선명함
리사,/assets/celebrities/lisa.jpg,0.50,0.47,0.60,0.61,0.66,0.56,0.49,0.67,0.60,0.65,강한 포인트|무대 무드|또렷함
해린,/assets/celebrities/haerin.jpg,0.62,0.48,0.48,0.45,0.51,0.68,0.57,0.62,0.58,0.58,쿨한 톤|몽환적 무드|정돈됨
민지,/assets/celebrities/minji.jpg,0.67,0.52,0.39,0.35,0.42,0.77,0.62,0.59,0.57,0.60,내추럴 톤|청량한 분위기|밝음
하니,/assets/celebrities/hanni.jpg,0.73,0.57,0.42,0.30,0.38,0.80,0.66,0.60,0.56,0.63,상큼한 색감|부드러운 무드|밝음
다니엘,/assets/celebrities/danielle.jpg,0.71,0.60,0.44,0.36,0.43,0.76,0.57,0.56,0.58,0.65,따뜻한 톤|화사한 분위기|생기
혜인,/assets/celebrities/hyein.jpg,0.55,0.49,0.57,0.55,0.60,0.61,0.49,0.65,0.58,0.62,트렌디한 톤|선명한 무드|도회적
설현,/assets/celebrities/seolhyun.jpg,0.60,0.54,0.49,0.43,0.50,0.69,0.54,0.62,0.56,0.65,건강한 톤|선명한 분위기|균형감
화사,/assets/celebrities/hwasa.jpg,0.42,0.55,0.63,0.67,0.69,0.52,0.45,0.71,0.61,0.64,강렬한 색감|따뜻한 무드|대비감
솔라,/assets/celebrities/solar.jpg,0.66,0.56,0.48,0.44,0.51,0.69,0.58,0.65,0.58,0.68,화사한 톤|무대 에너지|밝음
문별,/assets/celebrities/moonbyul.jpg,0.49,0.46,0.55,0.57,0.62,0.59,0.51,0.63,0.62,0.56,시크한 톤|차분한 카리스마|또렷함
웬디,/assets/celebrities/wendy.jpg,0.70,0.53,0.40,0.35,0.41,0.77,0.64,0.56,0.59,0.61,맑은 톤|밝은 분위기|부드러움
슬기,/assets/celebrities/seulgi.jpg,0.52,0.47,0.56,0.58,0.63,0.58,0.46,0.67,0.59,0.59,쿨한 색감|또렷한 무드|시크함
아이린,/assets/celebrities/irene.jpg,0.64,0.49,0.44,0.43,0.50,0.70,0.54,0.62,0.57,0.62,정돈된 톤|차가운 분위기|선명함
조이,/assets/celebrities/joy.jpg,0.69,0.57,0.45,0.39,0.47,0.73,0.58,0.63,0.56,0.65,따뜻한 색감|생기 있는 무드|밝음
예리,/assets/celebrities/yeri.jpg,0.67,0.54,0.43,0.37,0.44,0.75,0.59,0.56,0.57,0.66,부드러운 톤|상큼한 분위기|균형감
정국,/assets/celebrities/jungkook.jpg,0.54,0.48,0.54,0.55,0.60,0.61,0.52,0.64,0.62,0.64,선명한 대비|활기찬 무드|강한 인상
지민,/assets/celebrities/jimin.jpg,0.61,0.49,0.47,0.46,0.52,0.68,0.58,0.62,0.61,0.66,부드러운 선명함|쿨한 톤|무대 무드
진,/assets/celebrities/jin.jpg,0.67,0.52,0.41,0.38,0.45,0.74,0.62,0.60,0.54,0.59,맑은 톤|깔끔한 분위기|단정함
RM,/assets/celebrities/rm.jpg,0.50,0.47,0.51,0.52,0.57,0.62,0.47,0.67,0.58,0.57,차분한 톤|지적인 무드|균형감
슈가,/assets/celebrities/suga.jpg,0.45,0.44,0.50,0.56,0.60,0.59,0.45,0.62,0.61,0.57,쿨한 톤|담백한 분위기|시크함
제이홉,/assets/celebrities/jhope.jpg,0.62,0.56,0.52,0.48,0.54,0.66,0.54,0.62,0.59,0.63,밝은 에너지|따뜻한 색감|활기
강다니엘,/assets/celebrities/kang-daniel.jpg,0.57,0.50,0.52,0.50,0.56,0.64,0.53,0.64,0.61,0.62,선명한 톤|부드러운 카리스마|균형감
박보검,/assets/celebrities/park-bogum.jpg,0.69,0.54,0.38,0.33,0.40,0.78,0.62,0.58,0.58,0.66,따뜻한 미소|맑은 톤|단정함
공유,/assets/celebrities/gong-yoo.jpg,0.55,0.51,0.45,0.44,0.50,0.68,0.56,0.64,0.56,0.65,차분한 톤|성숙한 분위기|균형감
현빈,/assets/celebrities/hyun-bin.jpg,0.50,0.48,0.48,0.53,0.58,0.62,0.54,0.61,0.59,0.65,깊은 톤|클래식 무드|또렷함
이민호,/assets/celebrities/lee-minho.jpg,0.56,0.52,0.47,0.48,0.54,0.65,0.49,0.61,0.58,0.58,선명한 분위기|따뜻한 톤|균형감
김수현,/assets/celebrities/kim-soohyun.jpg,0.63,0.50,0.43,0.40,0.47,0.72,0.55,0.60,0.58,0.60,맑은 톤|차분한 분위기|단정함
송중기,/assets/celebrities/song-joongki.jpg,0.70,0.54,0.39,0.34,0.41,0.78,0.59,0.59,0.57,0.62,밝은 톤|부드러운 인상|깔끔함
정해인,/assets/celebrities/jung-haein.jpg,0.72,0.55,0.36,0.29,0.36,0.82,0.62,0.58,0.57,0.64,따뜻한 미소|맑은 분위기|부드러움
남주혁,/assets/celebrities/nam-joohyuk.jpg,0.59,0.49,0.48,0.47,0.53,0.66,0.55,0.60,0.56,0.62,청량한 톤|차분한 무드|균형감
서강준,/assets/celebrities/seo-kangjoon.jpg,0.66,0.50,0.45,0.42,0.49,0.71,0.60,0.59,0.56,0.65,선명한 눈매|맑은 톤|정돈됨
이종석,/assets/celebrities/lee-jongsuk.jpg,0.65,0.49,0.41,0.38,0.45,0.74,0.62,0.59,0.57,0.66,쿨한 톤|깔끔한 무드|단정함
지창욱,/assets/celebrities/ji-changwook.jpg,0.53,0.50,0.51,0.54,0.59,0.61,0.47,0.66,0.60,0.66,강한 대비|성숙한 무드|또렷함
이준호,/assets/celebrities/lee-junho.jpg,0.57,0.51,0.49,0.49,0.55,0.65,0.51,0.66,0.60,0.58,따뜻한 톤|선명한 분위기|균형감
도경수,/assets/celebrities/do-kyungsoo.jpg,0.60,0.50,0.43,0.40,0.46,0.72,0.55,0.57,0.60,0.59,담백한 톤|차분한 무드|단정함
백현,/assets/celebrities/baekhyun.jpg,0.67,0.49,0.46,0.42,0.49,0.71,0.58,0.59,0.55,0.61,맑은 톤|무대 무드|선명함
카이,/assets/celebrities/kai.jpg,0.43,0.48,0.62,0.69,0.72,0.51,0.46,0.70,0.61,0.59,강렬한 대비|시크한 무드|무대감
세훈,/assets/celebrities/sehun.jpg,0.55,0.46,0.51,0.55,0.60,0.60,0.54,0.66,0.60,0.61,쿨한 색감|도회적 무드|또렷함
민호,/assets/celebrities/minho.jpg,0.58,0.53,0.51,0.50,0.56,0.64,0.57,0.67,0.59,0.64,건강한 톤|선명한 분위기|활기
태민,/assets/celebrities/taemin.jpg,0.49,0.45,0.57,0.61,0.65,0.56,0.45,0.65,0.63,0.63,몽환적 톤|강한 대비|시크함
키,/assets/celebrities/key.jpg,0.52,0.47,0.58,0.57,0.62,0.58,0.48,0.65,0.63,0.65,트렌디한 색감|선명한 무드|개성
원빈,/assets/celebrities/won-bin.jpg,0.48,0.49,0.49,0.55,0.60,0.60,0.48,0.65,0.58,0.56,깊은 톤|클래식 무드|강한 인상
강동원,/assets/celebrities/kang-dongwon.jpg,0.54,0.48,0.46,0.50,0.55,0.65,0.52,0.64,0.58,0.58,차분한 톤|도회적 분위기|균형감
마동석,/assets/celebrities/ma-dongseok.jpg,0.46,0.55,0.52,0.60,0.64,0.56,0.49,0.69,0.60,0.60,강한 존재감|따뜻한 톤|대비감
유재석,/assets/celebrities/yoo-jaesuk.jpg,0.64,0.54,0.37,0.32,0.39,0.78,0.61,0.54,0.56,0.63,친근한 톤|밝은 분위기|담백함
강호동,/assets/celebrities/kang-hodong.jpg,0.58,0.57,0.43,0.41,0.47,0.71,0.59,0.58,0.58,0.64,따뜻한 에너지|밝은 무드|활기
신동엽,/assets/celebrities/shin-dongyup.jpg,0.57,0.53,0.40,0.38,0.44,0.73,0.52,0.58,0.59,0.64,담백한 톤|차분한 무드|균형감
김종국,/assets/celebrities/kim-jongkook.jpg,0.49,0.52,0.50,0.56,0.61,0.60,0.47,0.66,0.58,0.64,건강한 톤|강한 분위기|선명함
임영웅,/assets/celebrities/lim-youngwoong.jpg,0.66,0.55,0.38,0.33,0.40,0.78,0.58,0.60,0.54,0.68,따뜻한 톤|부드러운 분위기|밝음
이효리,/assets/celebrities/lee-hyori.jpg,0.48,0.56,0.60,0.64,0.68,0.54,0.47,0.66,0.61,0.58,강렬한 색감|따뜻한 카리스마|대비감
보아,/assets/celebrities/boa.jpg,0.55,0.50,0.53,0.52,0.58,0.62,0.53,0.63,0.60,0.59,선명한 톤|무대 무드|균형감
엄정화,/assets/celebrities/uhm-junghwa.jpg,0.50,0.53,0.57,0.58,0.63,0.58,0.52,0.67,0.62,0.60,세련된 색감|성숙한 무드|또렷함
손흥민,/assets/celebrities/son-heungmin.jpg,0.61,0.56,0.45,0.44,0.50,0.69,0.59,0.62,0.60,0.63,밝은 에너지|따뜻한 톤|건강함
김연아,/assets/celebrities/kim-yuna.jpg,0.63,0.49,0.42,0.40,0.47,0.72,0.53,0.62,0.55,0.63,우아한 톤|차분한 분위기|정돈됨
장동건,/assets/celebrities/jang-donggun.jpg,0.51,0.50,0.47,0.52,0.57,0.63,0.48,0.61,0.58,0.63,클래식 무드|깊은 톤|선명함
고소영,/assets/celebrities/ko-soyoung.jpg,0.58,0.52,0.48,0.46,0.52,0.67,0.53,0.61,0.58,0.65,세련된 톤|성숙한 분위기|균형감
한가인,/assets/celebrities/han-gain.jpg,0.65,0.52,0.39,0.35,0.42,0.77,0.59,0.58,0.57,0.67,단정한 톤|우아한 무드|맑음
이영애,/assets/celebrities/lee-youngae.jpg,0.67,0.53,0.35,0.30,0.37,0.81,0.61,0.57,0.57,0.59,우아한 색감|부드러운 분위기|클래식
수애,/assets/celebrities/soo-ae.jpg,0.59,0.51,0.43,0.40,0.46,0.71,0.58,0.62,0.60,0.59,차분한 톤|고급스러운 무드|균형감
공효진,/assets/celebrities/gong-hyojin.jpg,0.62,0.55,0.44,0.37,0.43,0.75,0.61,0.56,0.54,0.62,내추럴 톤|따뜻한 분위기|담백함
전도연,/assets/celebrities/jeon-doyeon.jpg,0.56,0.52,0.46,0.45,0.51,0.68,0.50,0.60,0.57,0.62,깊이 있는 톤|차분한 무드|선명함
라미란,/assets/celebrities/ra-miran.jpg,0.55,0.55,0.42,0.40,0.46,0.71,0.52,0.59,0.56,0.63,따뜻한 에너지|친근한 톤|밝음
박은빈,/assets/celebrities/park-eunbin.jpg,0.70,0.54,0.37,0.31,0.38,0.80,0.60,0.58,0.56,0.66,맑은 톤|부드러운 분위기|단정함
정호연,/assets/celebrities/jung-hoyeon.jpg,0.47,0.46,0.59,0.63,0.67,0.54,0.47,0.71,0.64,0.63,도회적 톤|강한 대비|시크함
배두나,/assets/celebrities/bae-doona.jpg,0.50,0.45,0.54,0.56,0.61,0.59,0.51,0.63,0.63,0.64,쿨한 색감|개성 있는 무드|담백함
김혜수,/assets/celebrities/kim-hyesoo.jpg,0.49,0.52,0.58,0.62,0.67,0.55,0.50,0.67,0.59,0.57,강렬한 무드|성숙한 톤|카리스마
차승원,/assets/celebrities/cha-seungwon.jpg,0.45,0.48,0.55,0.65,0.69,0.53,0.50,0.68,0.61,0.57,깊은 대비|성숙한 무드|강한 인상
유아인,/assets/celebrities/yoo-ahin.jpg,0.46,0.46,0.57,0.63,0.67,0.54,0.43,0.69,0.62,0.58,시크한 톤|강한 분위기|도회적
이정재,/assets/celebrities/lee-jungjae.jpg,0.47,0.49,0.54,0.61,0.65,0.56,0.45,0.70,0.62,0.60,깊은 톤|성숙한 무드|선명함
